ref,fundam_legal,beneficio,item,descr_produto,oper,ncm
Alíquota 0% - Dispositivos acessibilidade (Governo e CEBAS) - Anexo V - art 145,GERAL,Redução a 0%,2.4,"Calculadora digital com sistema de voz, com verbalização dos ajustes de minutos e horas, tanto no modo horário, como no modo alarme, e comunicação por voz dos dígitos de cálculo e resultados",INC,8470.10.00
Alíquota 0% - Dispositivos acessibilidade (Governo e CEBAS) - Anexo V - art 145,GERAL,Redução a 0%,2.4,"Calculadora digital com sistema de voz, com verbalização dos ajustes de minutos e horas, tanto no modo horário, como no modo alarme, e comunicação por voz dos dígitos de cálculo e resultados",INC,8470.29.00
Alíquota 0% - Dispositivos acessibilidade (Governo e CEBAS) - Anexo V - art 145,GERAL,Redução a 0%,2.5,"Agenda eletrônica com teclado em braille, com ou sem sintetizador de voz",INC,8543.70.99
Alíquota 0% - Dispositivos acessibilidade (Governo e CEBAS) - Anexo V - art 145,GERAL,Redução a 0%,2.6,Reglete para escrita em braille,INC,9017.20.00
Alíquota 0% - Dispositivos acessibilidade (Governo e CEBAS) - Anexo V - art 145,GERAL,Redução a 0%,2.7,"Display braille e teclado em Braille para uso em microcomputador, com sistema interativo para introdução e leitura de dados por meio de tabelas de caracteres Braille",INC,8471.60.90
Alíquota 0% - Dispositivos acessibilidade (Governo e CEBAS) - Anexo V - art 145,GERAL,Redução a 0%,2.8,"Máquina de escrever para escrita em braille, manual ou elétrica, com teclado de datilografia comum ou na formação Braille",INC,8472.90.99
Alíquota 0% - Dispositivos acessibilidade (Governo e CEBAS) - Anexo V - art 145,GERAL,Redução a 0%,2.9,"Impressora de caracteres em braille para uso com microcomputadores, com sistema de folha solta ou dois lados da folha, com ou sem sistema de comando de voz ou sistema acústico",INC,8443.32.22
Alíquota 0% - Dispositivos acessibilidade (Governo e CEBAS) - Anexo V - art 145,GERAL,Redução a 0%,3.1,"Aparelho telefônico com teclado alfanumérico e visor luminoso, com ou sem impressora embutida, que permite converter sinais transmitidos por sistema telefônico em caracteres e símbolos",INC,8517.1
Alíquota 0% - Dispositivos acessibilidade (Governo e CEBAS) - Anexo V - art 145,GERAL,Redução a 0%,3.2,Relógio despertador vibratório e/ou luminoso,INC,9103.10.00
Alíquota 0% - Dispositivos acessibilidade (Governo e CEBAS) - Anexo V - art 145,GERAL,Redução a 0%,3.2,Relógio despertador vibratório e/ou luminoso,INC,9105.11.00
