ncm,valor_produtos_servicos,tributos_nfe
04091010,0,0
04096010,0,0
04100000,976.58,5.38
04101000,22811.23,1901.07
04109000,115953.38,8218.669999999998
04141000,0,0
04212300,0,0
04414000,0,0
04421230,0,0
04479990,0,0
04602000,0,0
04779990,0,0
04818200,0,0
04900000,0,0
05010000,5466.96,88.1
05010121,0,0
05021011,1994.68,70.63000000000001
05021019,15673.22,228.75
05029010,515.76,63.11999999999999
05029020,7018.5,1498.83
05040010,0,0
05040011,2895045508.029998,1320989.35
05040012,2302161.08,5099.63
05040013,512098.66,20997.69
05040019,41039.01,48.49
05040090,119277.37,11620.39
05051000,1788.9,25.44
05059000,649993.91,59404.78000000001
05061000,200861.24,282.52
05069000,4591388.83,8311.710000000001
05071000,299.46,66.92
05079000,9818.060000000001,1388.35
05080000,164902.9,557.53
05100010,55756.5,0
05100090,1397808.31,111826.51
05111000,266396882.79,2448975.42
05119110,1182,0
05119190,3395705.04,243562.27
05119910,109310308.9,494153.3799999999
05119920,77304591.60999998,42525.21
05119930,2148.91,8.74
05119991,1616.25,105.72
05119999,28371014.64,319283.61
05151545,0,0
05187481,0,0
05405060,0,0
05424753,0,0
05607509,0,0
05954934,0,0
06000000,0,0
06002200,0,0
06010000,0,0
06011000,496255.9299999999,3091.95
06012000,42989231.98999999,514226.8599999999
06012902,0,0
06021000,6255143,24716.96
06022000,24139340.94,349430.23
06022200,0,0
06023000,2475590.44,268.65
06023001,0,0
06024000,38990.08000000001,1062.08
06024100,0,0
06029002,0,0
06029010,82726.71,35.26
06029020,0,0
06029021,59294807.68999998,41638.29
06029029,62985621.87,823203.1300000001
06029069,0,0
06029081,196325294.43,1478611.35
06029082,5610099.629999999,208682.48
06029083,52061828.86,131200.45
06029089,172366952.46,1806876.84
06029090,114377311.88,1007850.57
06031000,1780,0
06031100,687949.73,25067.42000000001
06031200,25790.98,935.3999999999999
06031300,816734.0299999999,28542.87
06031400,182354.31,186.81
06031500,59412.82,202.6799999999999
06031900,1613915.63,17321.57
06039000,2530163.92,13139.71
06041000,126,0
06042000,174996.03,2400.06
06049000,1412123.78,20047.37
06049900,42,0
06062029,0,0
06120000,0,0
06170000,0,0
06205900,0,0
06305000,0,0
06505901,0,0
06902200,0,0
06908900,0,0
07000000,0,0
07010000,0,0
07011000,121876870.84,1740144.84
07019000,182509518.92,1181077.59
07020000,29970306.34,277210.46
07022100,0,0
07024000,0,0
07030000,0,0
07031001,0,0
07031010,0,0
07031011,17362133.08,1407.19
07031019,21313718.65,723197.9400000001
07031021,1542.09,0.98
07031029,72396.37,161.77
07032000,0,0
07032010,17487157.81,946190.2400000003
07032090,277451638.86,8851830.649999999
07039010,137699.87,12479.27
07039090,4887428.55,79370.63
07041000,16361574.07,8102.710000000001
07041001,0,0
07042000,45735.51999999999,5.21
07042100,0,0
07049000,12104507.87,25540.94000000001
07049002,0,0
07049003,0,0
07050190,0,0
07051000,0,0
07051100,3428562.77,4358.610000000001
07051900,5527242.699999996,13175.85
07052100,1404742.42,41773.3
07052900,363730.44,2640.309999999999
07060000,0,0
07061000,44931201.36999999,32299.45
07069000,10394641.98,12124.53
07070000,1503974.34,6717.340000000001
07081000,100957.67,72.84
07082000,327291.0599999999,27074.85
07089000,1927258.449999999,12288.27
07089001,0,0
07089990,0,0
07092000,26087.24,735.41
07093000,275318.85,1637.04
07094000,23501.03000000001,101.87
07095100,170690.04,120.6
07095200,7755.960000000001,4.279999999999999
07095300,1283.6,0
07095400,10457.96,1.68
07095500,19586.1,0
07095600,23074.8,3533.76
07095900,3056346.6,566.66
07096000,3875207.229999999,13135.05
07096007,0,0
07097000,198477.35,34.98
07098056,0,0
07099000,12484.94,0
07099011,117.17,0
07099090,11434.23,0
07099100,19297.19999999999,0
07099200,34903.7,199.4
07099300,18826901.43,26660.4
07099909,0,0
07099911,29467079.8,502780.5499999999
07099919,6463989.149999999,494.9700000000001
07099990,6993980.729999999,47655.62000000002
07101000,88195851.82999998,130653.78
07101220,0,0
07102100,36928.75999999999,969
07102200,140089.82,26.93
07102900,109596.75,215.3800000000001
07103000,2109.78,4.07
07104000,16950644.32,319.19
07108000,975215.3700000001,11608.00000000001
07109000,3752887.53,1615.79
07111000,215,0
07112010,2626.42,127.35
07112020,2156.37,3.39
07112090,345.73,7.039999999999999
07114000,154730.14,1296.859999999999
07115100,10124.11,647.1100000000001
07115900,6402.8,128.79
07119000,230481.1999999999,11493.73
07122000,7732378.76,64421.43
07123100,15333.99,299.97
07123200,206.99,0
07123300,216,0
07123400,6350.920000000001,418.8599999999999
07123900,729751.66,2236.03
07129010,223262.89,13753.09
07129090,2532121.47,59368.4
07131010,3022260.94,41977.09999999999
07131090,610392.45,14587.98
07132010,233.15,2.71
07132090,176944.55,12789.05
07133000,0,0
07133110,2595525.48,8721.54
07133190,9570002.309999999,762628.95
07133210,754789.22,23936.24
07133290,1126683.52,10716.51
07133311,29529788.84,156689.72
07133313,0,0
07133319,21215595.72,786286.27
07133321,35118018.93,503605.02
07133329,3756036.41,55475.95
07133390,0,0
07133391,141913613.17,2241325.63
07133392,0,0
07133399,112626279.59,4929122.27
07133410,113.83,0
07133490,68.98,0
07133510,2657667.25,469.46
07133590,17967108.77,695655.71
07133910,7808818.609999999,3316.27
07133990,2199601.68,128252.3
07134010,10501.06,36.19
07134090,123696.58,18255.43
07135010,803.3500000000001,4.800000000000001
07135090,52599.42,165.61
07136010,513949.23,8377.970000000001
07136090,54422.75,13.09
07139010,27097.5,3286.57
07139090,893998.9999999999,10295.9
07141000,5091288.48,89092.51
07142000,7049660.589999999,46028.7
07142001,0,0
07143000,2627262.53,205.91
07144000,4398.450000000001,0
07145000,4992.44,0
07148055,0,0
07149000,2420701.29,3341.4
07161000,0,0
07308900,0,0
07318000,0,0
07318150,0,0
07333990,0,0
07378199,0,0
07610000,0,0
07898654,0,0
07908367,0,0
08000000,0,0
08000090,0,0
