ocupacao,percentual_corrigido_2023,percentual_corrigido_2024,valor_corrigido_2023,valor_corrigido_2024,ano,valor
241,0.03353385113929314,0.034824631723926934,2528605433.226418,2868276088.485484,2023,1943594594.02
250,3.569151711815974e-05,2.205866447453322e-05,2691303.2961884495,1816827.2491093352,2023,2068651.15
251,1.2016021990399784e-05,9.126131583685348e-06,906062.9023634853,751659.4923205446,2023,696438.81
252,0.007888002320289795,0.007511082336040407,594791377.8687992,618638498.0004905,2023,457182165.08
253,0.0010721203164100275,0.0011863257052339901,80842765.29665439,97709853.19969474,2023,62139216.95
254,0.0011888441308675,0.0011926118577674889,89644273.66496222,98227602.27866113,2023,68904433.8
255,0.04402736462406139,0.04738964587319707,3319864245.1356955,3903173741.432418,2023,2551790055.87
256,1.4573724737707565e-05,1.6731138505770414e-05,1098925.3635390948,1378033.9413113708,2023,844681.17
257,1.3568615838481921e-05,1.0561043041528869e-05,1023135.5649558903,869843.7205488257,2023,786425.88
258,0.00013364541651878428,0.00014876270574667468,10077474.398376808,12252606.57841851,2023,7745979.07
259,1.1691597296528884e-05,1.2196582025625412e-05,881599.7996859183,1004552.3198258939,2023,677635.42
261,0.000384022916072691,0.0003811504648812616,28957080.653556205,31392859.318679143,2023,22257654.23
263,0.0015487701028030114,0.0014572912532118713,116784334.745779,120027504.91901872,2023,89765448.85
264,0.00029996167348610083,0.0003216316639547262,22618479.2848887,26490686.77407718,2023,17385533.34
265,2.5491907052161202e-05,3.061384997875775e-05,1922206.1435069751,2521461.6644523437,2023,1477490.09
266,7.976948449418665e-05,8.024526436726956e-05,6014983.219786626,6609275.14821918,2023,4623374.1
271,3.826066119318804e-05,3.118272609607146e-05,2885028.4856954175,2568316.252249184,2023,2217556.64
272,0.00010756547304855037,8.911827724048274e-05,8110927.624994149,7340086.915557273,2023,6234406.87
273,0.00025866217577428786,0.0002175560034699636,19504308.65563918,17918658.483059365,2023,14991848.22
274,0.0005295848605972569,0.0005135412981182623,39933115.65373956,42297022.33521021,2023,30694305.52
275,0.0006804260227961561,0.000709431276840441,51307227.76230675,58431192.723484956,2023,39436935.95
276,0.00013111105588819538,0.00010893366266700762,9886372.039341368,8972150.009679666,2023,7599089.6
277,0.00029605663340938305,0.00027969823601823424,22324021.43947335,23036905.852229536,2023,17159200.41
279,0.0004189660308114472,0.0003692315662135615,31591950.994432166,30411177.952436384,2023,24282928.59
