exportacao_de_bens_e_servicos_1,consumo_do_governo,consumo_das_isflsf,consumo_das_familias,formacao_bruta_de_capital_fixo,variacao_de_estoque,demanda_final,demanda_total,consumo_intermediario_total,consumo_intermediario_adm_publica,demanda_total_export,compras_adm_publica_2021,compras_adm_publica_2020,compras_adm_publica_2019,compras_adm_publica_media_2021_2019,consumo_final_proxy_debitos_cbs_2021,consumo_final_proxy_debitos_cbs_2020,consumo_final_proxy_debitos_cbs_2019,consumo_final_proxy_debitos_cbs_media_2021_2019
22115,0,0,175800,72600,145,270660,273455,2795,41,251340,0.00016312564653457468,0.00017750264867233566,0.00014385190446435396,0.00016149339989042144,0.9888731861701069,0.9876834381551363,0.9874507730700132,0.9880024657984188
16110,0,0,4027,84570,-298,104409,116099,11690,0,99989,0,0,0,0,0.8834345428619861,0.8998702364873812,0.8717996886908915,0.8850348226800863
23221,0,0,0,0,-538,22683,247553,224870,3225,224332,0.01437601412192643,0.017733114664122786,0.015396491312712207,0.01583520669958714,0,0,0,0
21944,0,0,24974,87705,16277,150900,182120,31220,385,160176,0.0024036060333633004,0.003650582470714216,0.0047693007640294315,0.0036078297560356493,0.7830422727051612,0.7811565347811215,0.7497933434848815,0.7713307169903881
5555,0,0,83676,18581,2500,110312,117045,6733,572,111490,0.005130504978024935,0.005318747235438176,0.00494165941592486,0.005130303876462657,0.9382236902468116,0.9464904332995789,0.9449003516998827,0.9432048250820911
4792,0,0,62066,9194,-471,75581,141769,66188,13673,136977,0.09981967775611963,0.10868147561146745,0.08220449985906852,0.0969018844088852,0.5184506140504045,0.5180084320417587,0.5376900146576854,0.5247163535832828
3676,0,0,694,20093,0,24463,135360,110897,4006,131684,0.03042131162479876,0.03127420437529045,0.029711446304446946,0.030468987434845385,0.15785516843352268,0.12721389352656673,0.11253687178389646,0.1325353112479953
115,0,0,167000,0,0,167115,545725,378610,12033,545610,0.022054214548853576,0.024906930346268813,0.028731861685705466,0.025231002193609284,0.3060794340279687,0.33308877649793034,0.3282166563754245,0.32246162230044123
3,0,0,48830,0,54,48887,120930,72043,17580,120927,0.14537696296112532,0.14979947673839636,0.17257937011408997,0.15591860327120388,0.4039777286904437,0.4147175649876494,0.4120130568206251,0.41023611683290606
326,0,0,0,372106,0,372432,423909,51477,42918.584559401825,423583,0.10132272673691302,0.11627436380999047,0.11169525622021527,0.10976411558903959,0.8784724599429156,0.8655300347581638,0.8557047656639402,0.8665690867883398
0,0,0,0,155452,0,155452,188300,32848,27316.678233965948,188300,0.14506998531049362,0.16620695030716334,0.17541556532424935,0.1622308336473021,0.825554965480616,0.8026960541848854,0.7700658608959977,0.7994389601871664
3568,0,0,0,140581,0,144149,190618,46469,18667.334487875145,187050,0.09979863399024402,0.11151209049321953,0.10707709985023206,0.10612927477789853,0.7515690991713445,0.7274567514871527,0.721134871081492,0.733386907246663
475,0,0,69820,0,0,70295,104925,34630,3847,104450,0.036831019626615606,0.04131167493680367,0.03924872779216142,0.039130474118526895,0.6684538056486357,0.6543394813219736,0.683465761985537,0.6687530163187154
4516,0,0,0,0,0,4516,64373,59857,0,59857,0,0,0,0,0,0,0,0
544,0,0,2500,0,0,3044,304566,301522,1461,304022,0.004805573280880989,0.00595411462190748,0.00703279150615428,0.005930826469647582,0.00822308911855063,0.00830080969301567,0.009630743211500517,0.00871821400768894
261,0,0,78609,0,0,78870,98861,19991,4852,98600,0.04920892494929006,0.04871083456193915,0.04472032785835495,0.04754669578986139,0.7972515212981744,0.7977734180007198,0.8538564979348766,0.816293812411257
11493,0,0,1322,0,0,12815,47169,34354,0,35676,0,0,0,0,0.03705572373584483,0.05653775892497755,0.08528746998163582,0.059626984214152724
9120,0,0,6167,0,0,15287,41533,26246,1809,32413,0.055810940054916235,0.06662690636448837,0.043707741798778725,0.055381862739394445,0.1902631660136365,0.212447814603391,0.30071465721495577,0.23447521261066107
17529,0,0,37287,0,0,54816,177494,122678,2345,159965,0.014659456756165411,0.01712451799870668,0.018159642227944167,0.01664787232760542,0.23309473947426,0.23694904158583416,0.2840812161698939,0.25137499907666266
