codigo,descricao,categoria,valor_rend_tna_2023,valor_rend_tna_2024,atividade_de_divulgacao_scn_2010,classe_cnae_2_0_4_digitos,consumo_final_contas_nacionais,consumo_intermediaro,2024_0_1,2024_0_2,2024_0_3,ano,valor
291,PROFESSOR DO ENSINO FUNDAMENTAL,"LC 214/2025, art 129",77379816.82448356,82164716.20860037,8592,8513,0.8621415167655477,0.13785848323445227,2936342.1864893096,11327103.151906863,2936342.1864893096,2023,10667464.180383055
292,PROFESSOR DO ENSINO MÉDIO,"LC 214/2025, art 129",56979989.82505259,56832636.81760959,8592,8520,0.8621415167655477,0.13785848323445227,2356179.5046983818,7834861.109890147,2356179.5046983818,2023,7855174.971996273
293,PROFESSOR DO ENSINO PROFISSIONAL,"LC 214/2025, art 129",22504076.197492,23324937.07698868,8592,8541,0.8621415167655477,0.13785848323445227,1022313.6598242915,3215540.446972698,1022313.6598242915,2023,3102377.811178787
294,PROFESSOR DO ENSINO SUPERIOR,"LC 214/2025, art 129",165507660.60832283,171677267.55599913,8592,8531,0.8621415167655477,0.13785848323445227,19178808.509330045,23667167.711105283,19178808.509330045,2023,22816635.05514589
295,INSTRUTOR E PROFESSOR DE ESCOLAS LIVRES,"LC 214/2025, art 129",164771235.93625253,173731734.13353977,8592,8599,0.8621415167655477,0.13785848323445227,5610155.8485473655,23950393.35734091,5610155.8485473655,2023,22715112.66683785
296,"PEDAGOGO, ORIENTADOR EDUCACIONAL","LC 214/2025, art 129",63866334.01960727,69633429.04718468,8592,8599,0.8621415167655477,0.13785848323445227,2654987.9171142383,9599558.91085873,2654987.9171142383,2023,8804515.937687958
311,TÉCNICO EM CIÊNCIAS FÍSICAS E QUÍMICAS,"LC 214/2025, art 127",3007408.2682002718,3828743.507690933,7380,7490,0.01736158728243161,0.9826384127175684,44733.48049888261,3762270.4431001134,44733.48049888261,2023,2955194.887058006
312,"TÉCNICO EM CONSTRUÇÃO CIVIL, DE EDIFICAÇÕES E OBRAS DE INFRA-ESTRUTURA","LC 214/2025, art 127",44472724.67679271,48281359.7448232,7180,7112,0.41733223453661844,0.5826677654633816,986130.2076433245,28131991.9960498,986130.2076433245,2023,25912823.111495
313,TÉCNICO EM ELETRO-ELETRÔNICA E FOTÔNICA,"LC 214/2025, art 127",23043369.71608196,25069321.562105443,7380,7490,0.01736158728243161,0.9826384127175684,381274.8804260483,24634078.347693603,381274.8804260483,2023,22643300.24147486
314,TÉCNICO EM METALMECÂNICA,"LC 214/2025, art 127",6405359.938225722,8828138.005881362,7380,7490,0.01736158728243161,0.9826384127175684,486190.84800256096,8674867.5173509,486190.84800256096,2023,6294152.722582825
316,TÉCNICO EM MINERALOGIA E GEOLOGIA,"LC 214/2025, art 127",1609091.8450870477,1237019.1834265802,7380,7490,0.01736158728243161,0.9826384127175684,29687.01693731965,1215542.5669034773,29687.01693731965,2023,1581155.4565731199
317,TÉCNICO EM INFORMÁTICA,"LC 214/2025, art 127",46952193.32050119,51078084.3531552,6280,6204,0.4850664403345332,0.5149335596654667,534059.1867613498,26301819.796863187,534059.1867613498,2023,24177260.040626828
