codigo_ncm,nome_ncm,codigo_produto,descricao_produto
52063200,"Fios retorcidos ou retorcidos múltiplos de algodão, de fibras não penteadas, que contenham menos de 85 %, em peso, de algodão, não acondicionados para venda a retalho, de título < 714,29 decitex mas > 232,56 decitex (número métrico >14 mas < 43)",13001,Fios e fibras têxteis beneficiadas
52063300,"Fios retorcidos ou retorcidos múltiplos de algodão, de fibras não penteadas, que contenham menos de 85 %, em peso, de algodão, não acondicionados para venda a retalho, de título < 232,56 decitex mas > 192,31 decitex (número métrico > 43 mas < 52)",13001,Fios e fibras têxteis beneficiadas
52063400,"Fios retorcidos ou retorcidos múltiplos de algodão,de fibras não penteadas, que contenham menos de 85 %, em peso, de algodão, não acondicionados para venda a retalho, de título < 192,31 decitex mas > 125 decitex (número métrico > 52 mas não superior a 80)",13001,Fios e fibras têxteis beneficiadas
52063500,"Fios retorcidos ou retorcidos múltiplos de algodão, de fibras não penteadas, que contenham menos de 85 %, em peso, de algodão, não acondicionados para venda a retalho, de título inferior a 125 decitex (número métrico superior a 80)",13001,Fios e fibras têxteis beneficiadas
52064100,"Fios retorcidos ou retorcidos múltiplos de algodão, de fibras penteadas, que contenham menos de 85 %, em peso, de algodão, não acondicionados para venda a retalho, de título igual ou superior a 714,29 decitex (número métrico não superior a 14)",13001,Fios e fibras têxteis beneficiadas
52064200,"Fios retorcidos ou retorcidos múltiplos de algodão, de fibras penteadas, que contenham menos de 85 %, em peso, de algodão, não acondicionados para venda a retalho, de título < 714,29 decitex mas não inferior a 232,56 decitex (número métrico superior a 14",13001,Fios e fibras têxteis beneficiadas
52064300,"Fios retorcidos ou retorcidos múltiplos de algodão, de fibras penteadas, que contenham menos de 85 %, em peso, de algodão, não acondicionados para venda a retalho, de título < 232,56 decitex mas não inferior a 192,31 decitex (número métrico superior a 43",13001,Fios e fibras têxteis beneficiadas
52064400,"Fios retorcidos ou retorcidos múltiplos de algodão, de fibras penteadas, que contenham menos de 85 %, em peso, de algodão, não acondicionados para venda a retalho, de título < 192,31 decitex mas não inferior a 125 decitex (número métrico superior a 52 mas",13001,Fios e fibras têxteis beneficiadas
52064500,"Fios retorcidos ou retorcidos múltiplos de algodão, de fibras penteadas, que contenham menos de 85 %, em peso, de algodão, não acondicionados para venda a retalho, de título inferior a 125 decitex (número métrico superior a 80)",13001,Fios e fibras têxteis beneficiadas
52071000,"Fios de algodão (exceto linhas para costurar) acondicionados para venda a retalho, que contenham pelo menos 85 %, em peso, de algodão",13001,Fios e fibras têxteis beneficiadas
52079000,Outros fios de algodão (exceto linhas para costurar) acondicionados para venda a retalho,13001,Fios e fibras têxteis beneficiadas
52081100,"Tecidos de algodão que contenham pelo menos 85 %, em peso, de algodão, crus, em ponto de tafetá, com peso não superior a 100 g/m2",13002,Tecidos
52081200,"Tecidos de algodão que contenham pelo menos 85 %, em peso, de algodão, crus, em ponto de tafetá, com peso superior a 100 g/m2",13002,Tecidos
