produto_interno_bruto_1,1199092_111000002,1315755_47899999,1488787_2559999959,1717950_4089999902,1957751_2169999941,2170584_5149999997,2409449_882999989,2720262_966000002,3109803_093000006,3333039_3110000165,3885847_0,4376382_0,4814760_0,5331619_0,5778953_0,5995787_0,6269328_0,6585479_0,7004141_0,7389131_0,7609597_0,9012142_0
Poupança bruta,167741.24300000313,178846.18800000357,229645.71399999844,281979.8599999972,369134.2529999917,393106.7019999927,443534.15500002174,526115.0190000145,597910.2539999974,545696.8730000058,691364.0,813523.0,850510.0,967036.0,931624.0,870392.0,839721.0,894604.0,888919.0,904130.0,1124528.0,1544682.0
   Empresas não financeiras,68669.72800000291,84840.2990000037,86605.91099999909,144198.15999999703,173737.56599999158,177273.10699999257,216921.64200002153,249440.74200001452,290921.7699999979,279778.8630000063,320043.0,386766.0,392774.0,506681.0,586209.0,556840.0,468857.0,503295.0,507934.0,438614.0,727236.0,770105.0
   Empresas financeiras,24175.55499999999,31298.559999999998,62610.58799999987,37978.02300000025,49901.824000000015,65872.13100000001,103055.95899999997,146290.52299999993,99742.68199999984,77774.26599999996,93460.0,114136.0,84446.0,99363.0,110802.0,152028.0,167587.0,196101.0,159231.0,144715.0,230700.0,240034.0
   Governo geral,-33183.93799999985,-54434.13699999999,-56334.906000000046,-49072.877000000095,-16010.584000000148,-14258.698999999964,-51304.38599999971,-58999.526999999944,-1228.564000000013,-43197.66700000025,9002.0,14210.0,27466.0,-27898.0,-162091.0,-335222.0,-330428.0,-372629.0,-313694.0,-258629.0,-811974.0,-58703.0
   Famílias,107549.40600000008,116848.53999999992,136252.6289999995,148396.96499999997,161027.29700000025,163971.84600000014,175213.71900000004,189576.06599999988,208674.36499999976,231218.6919999998,267784.0,296791.0,343646.0,385540.0,394290.0,493510.0,531088.0,563059.0,531854.0,576071.0,972157.0,591302.0
   Instituições sem fins de lucro a serviço das famílias,530.4920000000056,292.9259999999449,511.4920000000202,479.5890000000145,478.14999999996144,248.31699999997363,-352.77900000009686,-192.78499999995256,-199.9990000000107,122.7190000000046,1075.0,1620.0,2178.0,3350.0,2414.0,3236.0,2617.0,4778.0,3594.0,3359.0,6409.0,1944.0
Formação bruta de capital fixo,219487.66300000003,242336.97999999998,266883.7350000001,285261.518,339087.07800000004,370218.88599999994,414673.54500000004,489532.02700000006,602845.578,636675.7750000001,797946.0,901927.0,997460.0,1114944.0,1148453.0,1069397.0,973271.0,958779.0,1057409.0,1143185.0,1260227.0,1614782.0
   Empresas não financeiras,107588.413,126043.383,133121.543,148638.10199999993,180946.53800000003,202842.456,226613.541,275536.264,352133.175,340968.1450000001,430261.0,500755.0,536301.0,598018.0,590207.0,547928.0,477670.0,481164.0,556260.0,618552.0,696813.0,940970.0
   Empresas financeiras,3042.5890000000004,1499.9229999999998,1456.2409999999998,810.4839999999998,3041.577,3882.9780000000005,3523.94,3520.6890000000008,3633.2039999999997,5368.884,6428.0,7366.0,8235.0,9422.0,9864.0,7692.0,7590.0,7781.0,9373.0,12444.0,13718.0,16964.0
   Governo geral,26532.001000000004,31947.001,36730.999,32732.999,40956.0,45887.001000000004,57889.99799999999,68128.0,88689.00100000002,99030.002,125668.0,123637.0,131379.0,143840.0,171540.0,136072.0,121248.0,109218.0,119172.0,121045.0,139686.0,151189.0
